chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.34874335,2088.008472115411,2386.936759879176,4783.628216911765,0.0785332687762605,-363.64365,84.75957,25.591925,25.90523,-20.911205,5.453448,-1.7022564,14.031992,-9.77819,-2.3788373,-11.11449,-8.109468,-6.2569723,-6.4477463,-8.183074,2.398717,-5.6866655,2.8737783,-0.59004474,5.7385817,catAngry
0.34448493,1695.477010098804,1897.3824066885209,3868.9075816761365,0.07814719460227272,-400.3557,97.750175,10.960684,34.09267,-28.44851,8.727178,-3.0516093,11.612031,-4.397442,-8.74646,-3.8768072,-16.796974,1.0261587,-15.033134,-3.191135,-2.3838372,-2.2737496,0.76206124,-0.68704915,5.9133463,catAngry
0.401744,2607.2441035039506,2149.3550040579994,5390.810259650735,0.14914325105042017,-281.31644,82.063866,-34.227356,45.62412,-36.62986,26.41682,-19.042395,14.190932,-7.382459,-4.4129815,-2.8582206,-15.429593,3.818762,-16.404564,4.815621,-9.825403,5.2030263,-1.0179061,1.7302419,4.512519,catAngry
0.3472933,1671.68591217033,1885.1673529804987,3771.4771943933824,0.07089105173319328,-375.0463,100.3262,11.706544,37.455765,-29.53849,10.811087,-3.5488732,12.560529,-5.3430357,-9.04051,-2.9680545,-16.833948,2.368955,-14.343713,-1.5167829,-2.6870644,-2.3541691,1.2556174,-0.40044588,6.580908,catAngry
0.3416873,1696.0942325487738,1888.6787967184198,3740.9416647518383,0.08197790835084033,-399.18573,96.77974,11.612618,24.725956,-28.062435,12.873319,0.926202,6.373675,-10.99763,-10.058648,-8.848888,-13.187445,-0.11944644,-13.228202,5.4097195,-3.7352457,1.5962204,4.4238553,0.7654209,4.9313207,catAngry
0.61569256,1441.8377993739844,1846.4999496080784,3202.5615234375,0.048046875,-344.08423,67.58135,-9.970913,70.96597,5.5451183,36.56081,4.1322427,27.856413,-2.6329243,16.163633,-1.4738047,1.3898165,0.20727624,3.811239,13.879365,10.740659,16.71004,8.927239,12.106304,-2.3095942,catHappy
0.6161935,1427.5219775743,1782.752409938435,3211.3525390625,0.03958953373015873,-367.69287,77.30921,-22.049538,72.8829,2.012507,35.964645,7.27584,20.877401,5.486197,7.1453614,7.938444,-7.8359394,6.131566,-2.6669247,18.241232,8.265159,15.7590065,12.848393,8.196379,3.849673,catHappy
0.6332625,2052.4472442493675,2093.047549374802,4546.376953125,0.07324869791666666,-269.55087,82.66277,-45.551994,64.13979,-20.943441,47.642605,-7.0866756,26.4865,0.68162096,10.3597145,9.734794,-7.155761,12.149867,-6.8637013,21.308996,3.7476823,18.92729,7.2035565,7.784525,2.9698725,catHappy
0.61588097,1346.7263942617444,1724.0010817064315,2982.3486328125,0.046575520833333335,-351.8639,78.12458,-19.248549,77.962585,1.5065055,37.763508,6.3857493,22.577188,4.827622,7.011234,8.027964,-8.113834,8.729875,-2.7489767,18.312737,8.746152,16.187952,11.830902,7.4382887,3.5799124,catHappy
0.6200102,1373.856916372766,1723.2626766062285,3085.7080078125,0.05162760416666667,-373.90527,80.626884,-17.218193,81.530266,-2.3711276,39.86326,5.4537435,17.327057,4.455318,2.69087,3.9137537,-6.792213,17.170254,6.4696975,23.75156,8.317528,12.81384,4.7958865,-1.7240431,7.905383,catHappy
0.6172983,1553.7245389278862,1643.5512786618383,2913.5838418111316,0.09514712591240876,11.32063,146.43205,-19.73339,35.286476,-39.68073,24.582565,-12.017067,9.372655,-9.592617,12.4039545,-1.1689034,-0.22746822,-4.332715,-0.82079136,-0.14404182,-12.924673,-1.4998391,-1.172067,9.741656,-2.1382425,catHappy
0.59805274,1555.7760462489173,1624.9572851333373,2956.3765676398025,0.09597724780701754,-41.993126,162.11996,-34.778587,46.30014,-46.591484,32.13721,-11.911435,5.1958833,-1.9824781,2.6973264,9.397941,-10.731638,6.2780094,-8.697046,5.498865,-14.337929,-1.3753917,1.2618787,4.0919027,4.1782665,catHappy
0.6306897,1617.385237026109,1716.8239681267985,3124.593514769617,0.09238851505474452,-14.842086,156.0092,-28.602741,45.62252,-44.882298,31.32559,-12.31003,7.5962334,-3.8566618,2.9258816,7.8735423,-9.757919,5.4582305,-8.838223,5.654334,-14.854706,-0.74668616,1.0348036,4.605916,4.1289,catHappy
0.63027495,1587.7541416970034,1678.1173134517178,3034.216932310675,0.09149392677919709,-17.595686,158.44456,-28.772587,45.047604,-44.519894,30.626589,-10.994759,6.3464255,-2.9873383,2.2623613,8.4954,-10.192003,5.365387,-8.4345455,5.3030367,-14.450891,-1.5186996,1.8821529,4.053086,4.51323,catHappy
0.604994,1654.2882715759963,1669.2690555709637,3045.612240533759,0.10262460082116788,-36.60915,158.39716,-36.17797,39.59528,-45.703228,35.35528,-17.247355,6.5203104,0.42125106,0.7826215,4.6119437,-13.748904,8.833098,-11.720792,1.2899587,-9.471113,9.21953,2.9718373,-3.684172,-0.36406252,catHappy
